id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,favoriteCount,commentCount,url,duracao,Mean_l,Q0.05,Q0.1,Q0.15,Q0.2,Q0.25,Q0.3,Q0.35,Q0.4,Q0.45,Q0.5,Q0.55,Q0.6,Q0.65,Q0.7,Q0.75,Q0.8,Q0.85,Q0.9,Q0.95,Mediana_r,Mean_r
j4S4ZwiIuqo,Star Wars: The Force Unleashed II! Ep 14,2014-05-01T14:45:44Z,Robôs de fogo e guerra no espaço,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,9,3,0,1,https://www.youtube.com/watch?v=j4S4ZwiIuqo,546.53,-0.018850627659211118,-3078,-1946,-1366,-987,-723,-525,-380,-222,-124,18,106,254,368,544,749,1014,1389,1986,3103,NA,NA
W_VsL90UpW4,Star Wars: The Force Unleashed II! Ep 15,2014-05-01T19:41:05Z,A grande explosão da nave inimiga e abandon ship!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,53,3,0,0,https://www.youtube.com/watch?v=W_VsL90UpW4,482.76,7.981450410141685e-4,-2813,-1788,-1249,-910,-670,-477,-351,-206,-115,20,98,236,339,506,680,925,1274,1812,2825,NA,NA
FnmKnUtB5Xk,Star Wars: The Force Unleashed II! Ep 16,2014-05-02T18:36:14Z,A grande fuga da nave em chamas!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,15,3,0,0,https://www.youtube.com/watch?v=FnmKnUtB5Xk,551.45,-0.02681829625519239,-3033,-1968,-1406,-1039,-769,-569,-403,-241,-129,18,120,273,405,577,791,1057,1431,1991,3024,NA,NA
_FbyDY3qZfc,Star Wars: The Force Unleashed II! Ep 17,2014-05-04T17:10:49Z,Minhas primeiras montagens e o bug da porta!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,14,2,0,0,https://www.youtube.com/watch?v=_FbyDY3qZfc,480.67,-0.010689461836761867,-2886,-1756,-1186,-851,-622,-437,-308,-188,-104,27,91,216,320,467,623,863,1220,1776,2869,NA,NA
VxbkZGlVRTw,Star Wars: The Force Unleashed II! Ep 18,2014-05-07T22:25:23Z,Voltando ao ponto de inicio e espada preta :O,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,26,3,0,0,https://www.youtube.com/watch?v=VxbkZGlVRTw,394.34,-0.07536376868926623,-2791,-1826,-1310,-962,-711,-522,-379,-221,-122,22,113,261,375,548,743,989,1319,1823,2759,NA,NA
Y_kgj9y7foI,Star Wars: The Force Unleashed II! Ep 19,2014-05-08T20:25:26Z,Fazendo parkur no Star Wars :),UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,5,2,0,0,https://www.youtube.com/watch?v=Y_kgj9y7foI,580.92,0.0053388375335674445,-2619,-1707,-1234,-929,-701,-520,-385,-229,-125,18,116,263,379,542,727,949,1254,1721,2602,NA,NA
YNbQG9SZ8fI,Star Wars: The Force Unleashed II! Ep 20,2014-05-09T09:15:45Z,Lutando contra Lord Vader!!!! XD,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,8,3,0,0,https://www.youtube.com/watch?v=YNbQG9SZ8fI,547.53,-43.91715345698155,-2002,-1317,-958,-714,-543,-416,-323,-201,-138,-26,32,147,219,342,483,652,874,1230,1901,-26,-43.91731642447254
HysQoZuDEdk,Star Wars: The Force Unleashed II! Ep 21,2014-05-09T18:34:16Z,A morte de Juno!!!!! ; - ;,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,4,3,0,0,https://www.youtube.com/watch?v=HysQoZuDEdk,488.33,0.0291184494165124,-3035,-1923,-1354,-981,-721,-529,-385,-226,-127,17,107,256,371,544,747,1005,1366,1950,3043,NA,NA
bpGfZELk-4c,Star Wars: The Force Unleashed II! Ep 22,2014-05-09T20:49:39Z,A grande escolha entre dark side e light side XD,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,12,2,0,0,https://www.youtube.com/watch?v=bpGfZELk-4c,305.18,0.015663637892768516,-2922,-1960,-1440,-1098,-838,-628,-441,-281,-143,12,140,296,456,629,841,1104,1460,1977,2929,NA,NA
Ps4W2LzwfTI,Star Wars: The Force Unleashed II! Ep 23,2014-05-09T21:52:38Z,A grande perda dos rebeldes!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,9,3,0,0,https://www.youtube.com/watch?v=Ps4W2LzwfTI,127.06,0.02939123955840994,-3146,-2055,-1448,-1059,-770,-567,-402,-233,-131,22,114,275,398,573,792,1067,1469,2052,3105,NA,NA
